arch,dtype,seed,batch_size,grad_mae,grad_cos_sim,torch_grad_norm,tf_grad_norm,max_layer_mae,min_layer_cos,nan_inf_torch,nan_inf_tf
1x64_relu,float32,0,1,1.0658732970865134e-08,0.999999999999994,11.904365539550781,11.904365539550781,2.953165676444769e-08,0.9999999999999923,False,False
1x64_relu,float32,0,8,3.191874108074703e-10,0.9999999999999998,1.890753984451294,1.890753984451294,2.9802322387695314e-09,0.9999999999999991,False,False
1x64_relu,float32,0,32,8.496871148891761e-10,0.9999999999999977,1.5030345916748047,1.5030347108840942,1.1548399925231934e-08,0.9999999999999964,False,False
1x64_relu,float32,1,1,1.521673460294023e-08,0.9999999999999875,8.892946243286133,8.892946243286133,7.152557373046875e-08,0.999999999999981,False,False
1x64_relu,float32,1,8,4.575518064424698e-10,0.9999999999999993,2.347275495529175,2.347275495529175,1.832813723012805e-09,0.999999999999999,False,False
1x64_relu,float32,1,32,6.283066226275489e-10,0.9999999999999986,1.3012725114822388,1.3012725114822388,7.450580596923828e-09,0.9999999999999962,False,False
1x64_relu,float32,2,1,5.560588484173535e-09,0.9999999999999898,3.925873041152954,3.925872802734375,3.427267074584961e-08,0.9999999999999885,False,False
1x64_relu,float32,2,8,4.755747250636728e-10,0.9999999999999994,2.2354376316070557,2.2354376316070557,1.8510036170482636e-09,0.9999999999999987,False,False
1x64_relu,float32,2,32,9.198288285101493e-10,0.9999999999999983,1.84806489944458,1.8480647802352905,9.685754776000977e-09,0.9999999999999972,False,False
1x64_relu,float64,0,1,1.7947476106308877e-17,0.9999999999999999,9.36762044035846,9.36762044035846,5.551115123125783e-17,0.9999999999999998,False,False
1x64_relu,float64,0,8,1.012778770944145e-17,1.0,2.1717130844896775,2.1717130844896775,1.8041124150158794e-17,0.9999999999999998,False,False
1x64_relu,float64,0,32,5.192626368652578e-18,0.9999999999999999,1.2553801812601295,1.2553801812601295,8.875719441098912e-18,0.9999999999999998,False,False
1x64_relu,float64,1,1,1.8602025003250996e-17,1.0,4.812778860929364,4.812778860929365,8.326672684688674e-17,1.0,False,False
1x64_relu,float64,1,8,5.8424465481075524e-18,1.0,2.288933395292049,2.288933395292049,2.914335439641036e-17,0.9999999999999999,False,False
1x64_relu,float64,1,32,5.269533559951257e-18,1.0,1.3343182982884916,1.3343182982884916,2.4980018054066023e-17,1.0,False,False
1x64_relu,float64,2,1,9.610706829489673e-18,0.9999999999999999,5.034926065130951,5.034926065130951,4.9960036108132046e-17,0.9999999999999999,False,False
1x64_relu,float64,2,8,9.396745209524472e-18,1.0,2.3874876839665706,2.3874876839665706,1.4783435435018755e-17,1.0,False,False
1x64_relu,float64,2,32,5.76001384979076e-18,1.0,1.7332106645457743,1.7332106645457743,3.053113317719181e-17,0.9999999999999999,False,False
2x64_relu,float32,0,1,0.04403308789596748,0.5307701911216608,8.633041381835938,8.63304328918457,0.06266329321275066,0.0893876554765244,False,False
2x64_relu,float32,0,8,0.01787120928574897,0.617476013942346,2.67317533493042,2.67317533493042,0.025432441021952634,0.08989766569619474,False,False
2x64_relu,float32,0,32,0.01677193143432497,0.6271147375117994,2.397120714187622,2.397120714187622,0.023868062992400185,0.14007206802439984,False,False
2x64_relu,float32,1,1,0.024709645614042177,0.5750668838493639,5.283063888549805,5.283064365386963,0.03516418679977207,0.04657880360623191,False,False
2x64_relu,float32,1,8,0.016702685938571847,0.5562561048021426,2.3328657150268555,2.3328659534454346,0.023769520471597194,0.008083964298011944,False,False
2x64_relu,float32,1,32,0.008268383923003164,0.537283994457688,1.0524063110351562,1.0524063110351562,0.011766701219660183,0.013176367975525724,False,False
2x64_relu,float32,2,1,0.013900546583379986,0.6383727310169558,3.366781711578369,3.366781711578369,0.01978180579211508,0.00011919569594408924,False,False
2x64_relu,float32,2,8,0.016737232120931388,0.5511696943615543,2.5024566650390625,2.5024566650390625,0.023818683012988034,0.023428783396351165,False,False
2x64_relu,float32,2,32,0.011623702334215044,0.6356873890871868,1.6571154594421387,1.6571154594421387,0.01654164022483985,0.0448096985536179,False,False
2x64_relu,float64,0,1,0.05875716498291445,0.5289200800698398,12.585741823507005,12.585741823507005,0.08361706901499226,0.00017583152428031007,False,False
2x64_relu,float64,0,8,0.02246533055576985,0.5874601213775602,3.1986637165806315,3.1986637165806315,0.03197031538319883,0.01880453349134966,False,False
2x64_relu,float64,0,32,0.013190815346940589,0.6297970542711356,1.864716388510884,1.864716388510884,0.018771792640946458,0.054110182388296124,False,False
2x64_relu,float64,1,1,0.016303179078615487,0.6674650073069271,3.876145735013904,3.8761457350139037,0.023200984094055088,0.024336934084524867,False,False
2x64_relu,float64,1,8,0.015313077000868631,0.5621176664788542,2.245943727732591,2.245943727732591,0.021791974081558408,0.005615532034115901,False,False
2x64_relu,float64,1,32,0.010369168735942885,0.6094117967595962,1.4473212935685955,1.4473212935685955,0.014756319473098405,0.07307693741906174,False,False
2x64_relu,float64,2,1,0.012365384380651457,0.6773591333515341,3.814769886174812,3.8147698861748123,0.017597125379594073,0.0041286332426981945,False,False
2x64_relu,float64,2,8,0.018080310004002925,0.5365626467477452,2.4615827446555576,2.4615827446555576,0.025730011477864505,0.002940005244200448,False,False
2x64_relu,float64,2,32,0.008313027662626822,0.6126665925025546,1.1446636328401802,1.1446636328401802,0.011830233946643488,0.0230629191294047,False,False
128_64_tanh_relu,float32,0,1,1.1685992745235985e-08,0.9999999999999776,12.084755897521973,12.084755897521973,7.525086402893066e-08,0.9999999999999314,False,False
128_64_tanh_relu,float32,0,8,2.7846943296543935e-09,0.9999999999999857,2.6942012310028076,2.6942012310028076,1.7881393432617187e-08,0.9999999999999769,False,False
128_64_tanh_relu,float32,0,32,1.3414468984253478e-09,0.9999999999999915,1.6096782684326172,1.6096783876419067,1.3411045074462891e-08,0.9999999999999869,False,False
128_64_tanh_relu,float32,1,1,5.049327342455374e-09,0.9999999999999796,5.583460807800293,5.583461284637451,3.5762786865234374e-08,0.9999999999999558,False,False
128_64_tanh_relu,float32,1,8,2.146129206059117e-09,0.9999999999999917,2.9135262966156006,2.9135260581970215,2.16066837310791e-08,0.9999999999999898,False,False
128_64_tanh_relu,float32,1,32,1.5507528107105247e-09,0.9999999999999845,1.426772117614746,1.426772117614746,1.3783574104309083e-08,0.9999999999999795,False,False
128_64_tanh_relu,float32,2,1,5.1861778456195084e-09,0.9999999999999721,4.399682998657227,4.399682998657227,3.129243850708008e-08,0.9999999999999477,False,False
128_64_tanh_relu,float32,2,8,2.6771945290904103e-09,0.9999999999999896,3.1096885204315186,3.1096885204315186,2.0861625671386717e-08,0.9999999999999858,False,False
128_64_tanh_relu,float32,2,32,1.312569806071178e-09,0.999999999999988,1.3683708906173706,1.3683708906173706,7.82310962677002e-09,0.9999999999999852,False,False
128_64_tanh_relu,float64,0,1,1.4418713315452626e-17,1.0,13.39921977132853,13.39921977132853,4.9528388118211255e-17,1.0,False,False
128_64_tanh_relu,float64,0,8,6.3598120010953636e-18,1.0,2.8595159227550377,2.8595159227550377,2.046296075294829e-17,0.9999999999999998,False,False
128_64_tanh_relu,float64,0,32,3.389015309812209e-18,1.0,1.5041614418244935,1.5041614418244935,1.457167719820518e-17,0.9999999999999998,False,False
128_64_tanh_relu,float64,1,1,1.705850183074061e-17,1.0,9.127081830186704,9.127081830186706,1.1102230246251565e-16,0.9999999999999998,False,False
128_64_tanh_relu,float64,1,8,4.942718589346295e-18,1.0,2.454655818806683,2.4546558188066836,2.914335439641036e-17,0.9999999999999998,False,False
128_64_tanh_relu,float64,1,32,3.2947075369477666e-18,1.0,1.4084257171755419,1.4084257171755419,1.9428902930940238e-17,0.9999999999999999,False,False
128_64_tanh_relu,float64,2,1,1.1253804825661748e-17,1.0,7.686320128899509,7.686320128899511,6.453171330633723e-17,0.9999999999999998,False,False
128_64_tanh_relu,float64,2,8,8.934285287605751e-18,0.9999999999999999,3.4012462056474635,3.401246205647463,3.8857805861880476e-17,0.9999999999999999,False,False
128_64_tanh_relu,float64,2,32,3.840058028811883e-18,1.0,1.5199996666630156,1.5199996666630156,2.0122792321330962e-17,0.9999999999999998,False,False
3x32_gelu_relu_tanh,float32,0,1,0.06698695935244355,0.5242289774849396,7.749377727508545,7.749377727508545,0.10734115323907645,0.005840984350507506,False,False
3x32_gelu_relu_tanh,float32,0,8,0.021999560844313603,0.5716739038344671,2.254880666732788,2.254880905151367,0.03302358619542334,0.02119812090963721,False,False
