arch,dtype,seed,batch_size,mae,cosine_similarity,cosine_distance
2x256_sigmoid,float32,0,32,1.1650845408439636e-07,0.9999999999999564,4.363176486776865e-14
2x256_sigmoid,float32,1,1,1.5795230865478515e-07,0.9999999999999684,3.164135620181696e-14
2x256_sigmoid,float32,1,8,1.0691583156585693e-07,0.9999999999999691,3.086420008457935e-14
2x256_sigmoid,float32,1,32,9.704381227493286e-08,0.9999999999999732,2.6756374893466273e-14
2x256_sigmoid,float32,2,1,2.3245811462402343e-07,0.9999999999999412,5.88418203051333e-14
2x256_sigmoid,float32,2,8,1.0579824447631835e-07,0.9999999999999721,2.786659791809143e-14
2x256_sigmoid,float32,2,32,1.1995434761047364e-07,0.9999999999999617,3.83026943495679e-14
2x256_sigmoid,float64,0,1,8.326672684688674e-17,1.0,0.0
2x256_sigmoid,float64,0,8,2.563921297493721e-16,1.0,0.0
2x256_sigmoid,float64,0,32,2.7629808163620596e-16,0.9999999999999998,2.220446049250313e-16
2x256_sigmoid,float64,1,1,7.771561172376095e-17,1.0,0.0
2x256_sigmoid,float64,1,8,2.4169034829046863e-16,1.0,0.0
2x256_sigmoid,float64,1,32,2.5991578680995e-16,1.0,0.0
2x256_sigmoid,float64,2,1,1.8752360775309284e-16,1.0,0.0
2x256_sigmoid,float64,2,8,2.8963376835777766e-16,1.0,0.0
2x256_sigmoid,float64,2,32,3.005137371586697e-16,1.0,0.0
2x64_elu,float32,0,1,1.0132789611816406e-07,0.9999999999999865,1.354472090042691e-14
2x64_elu,float32,0,8,5.8673322200775146e-08,0.9999999999999898,1.021405182655144e-14
2x64_elu,float32,0,32,7.853377610445023e-08,0.9999999999999869,1.3100631690576847e-14
2x64_elu,float32,1,1,1.3709068298339843e-07,0.9999999999999637,3.630429290524262e-14
2x64_elu,float32,1,8,6.51925802230835e-08,0.9999999999999768,2.3203661214665772e-14
2x64_elu,float32,1,32,7.66245648264885e-08,0.9999999999999853,1.4654943925052066e-14
2x64_elu,float32,2,1,8.344650268554687e-08,0.9999999999999876,1.2434497875801753e-14
2x64_elu,float32,2,8,6.258487701416016e-08,0.9999999999999865,1.354472090042691e-14
2x64_elu,float32,2,32,6.980262696743012e-08,0.9999999999999891,1.0880185641326534e-14
2x64_elu,float64,0,1,3.108624468950438e-16,0.9999999999999997,3.3306690738754696e-16
2x64_elu,float64,0,8,2.274222477005594e-16,0.9999999999999999,1.1102230246251565e-16
2x64_elu,float64,0,32,1.9819757814121263e-16,1.0,0.0
2x64_elu,float64,1,1,3.969047313034935e-16,1.0,0.0
2x64_elu,float64,1,8,1.9006064083670893e-16,0.9999999999999999,1.1102230246251565e-16
2x64_elu,float64,1,32,2.4386010788815527e-16,1.0,0.0
2x64_elu,float64,2,1,1.582067810090848e-16,0.9999999999999999,1.1102230246251565e-16
2x64_elu,float64,2,8,2.636779683484747e-16,1.0,0.0
2x64_elu,float64,2,32,2.3861663513147223e-16,1.0,0.0
